customer_id,signup_date,country,customer_segment,acquisition_channel,is_active
1,2021-10-06,Canada,high,email,True
2,2023-11-19,USA,high,ads,True
3,2024-07-31,USA,medium,organic,True
4,2024-06-13,USA,medium,organic,True
5,2022-05-18,Germany,low,ads,True
6,2024-03-07,Canada,high,organic,True
7,2022-08-17,Spain,high,referral,True
8,2022-08-12,USA,low,organic,True
9,2024-08-24,UK,medium,referral,False
10,2022-10-14,USA,low,ads,True
11,2022-11-12,USA,low,organic,True
12,2020-01-14,UK,high,organic,True
13,2024-08-21,USA,low,organic,True
14,2024-06-11,USA,low,ads,True
15,2024-02-02,Canada,low,referral,True
16,2024-05-07,UK,low,ads,True
17,2022-04-06,USA,medium,organic,True
18,2023-07-06,Canada,low,organic,True
19,2023-03-11,France,low,organic,True
20,2021-11-05,USA,medium,email,True
21,2023-08-11,France,high,organic,True
22,2024-10-18,Canada,low,organic,True
23,2021-03-10,USA,low,referral,True
24,2022-12-30,USA,medium,referral,True
25,2022-07-21,Mexico,medium,referral,True
26,2022-09-25,USA,low,referral,False
27,2024-10-03,USA,medium,ads,True
28,2023-07-18,USA,medium,ads,True
29,2023-07-17,France,medium,social,True
30,2024-05-15,Canada,low,organic,True
31,2022-04-10,France,low,organic,True
32,2023-08-13,Germany,medium,referral,False
33,2023-06-04,UK,medium,organic,False
34,2024-01-03,Brazil,low,email,True
35,2024-12-30,UK,low,ads,True
36,2024-05-22,Canada,low,organic,True
37,2023-04-30,France,low,referral,False
38,2024-07-14,Canada,medium,ads,True
39,2022-05-10,Spain,high,ads,True
40,2021-01-19,Canada,low,organic,False
41,2022-07-15,Germany,low,organic,False
42,2023-02-27,USA,low,organic,False
43,2023-09-14,USA,low,ads,False
44,2024-01-22,USA,low,ads,True
45,2024-10-05,USA,low,organic,True
46,2023-09-14,USA,low,email,False
47,2023-09-01,USA,medium,organic,True
48,2021-04-24,USA,medium,organic,True
49,2021-02-15,Canada,medium,organic,True
50,2023-11-12,UK,low,ads,True
51,2023-06-13,UK,high,social,True
52,2024-07-25,USA,low,ads,True
53,2022-04-21,USA,medium,ads,True
54,2020-12-06,Australia,medium,organic,False
55,2023-06-26,Canada,low,social,True
56,2022-09-25,Canada,low,organic,False
57,2021-04-21,USA,low,referral,True
58,2024-04-17,Germany,low,organic,False
59,2022-01-06,USA,low,referral,True
60,2024-01-15,UK,medium,organic,True
61,2022-12-14,Brazil,low,ads,False
62,2022-05-14,Canada,low,email,False
63,2023-04-10,Canada,medium,ads,False
64,2024-06-19,Canada,low,email,True
65,2023-04-24,France,low,referral,True
66,2024-05-07,Germany,low,email,True
67,2022-02-09,USA,low,referral,True
68,2024-05-24,USA,low,organic,True
69,2022-09-24,USA,low,email,True
70,2024-03-10,USA,medium,ads,True
71,2023-11-29,USA,low,referral,True
72,2024-10-29,Mexico,high,email,True
73,2023-04-19,Spain,low,referral,False
74,2021-07-05,USA,medium,email,True
75,2020-10-07,Canada,high,organic,True
76,2024-07-13,UK,medium,organic,False
77,2023-10-06,Australia,low,organic,False
78,2024-05-26,UK,medium,referral,True
79,2022-09-18,USA,low,organic,True
80,2023-03-04,USA,low,email,True
81,2021-01-17,Canada,medium,ads,True
82,2024-12-01,USA,low,organic,True
83,2024-03-04,Canada,low,organic,True
84,2024-11-03,Spain,high,referral,True
85,2022-11-16,UK,medium,organic,True
86,2024-01-18,USA,medium,organic,True
87,2024-03-11,Japan,low,ads,True
88,2023-01-31,UK,low,social,True
89,2024-08-03,USA,low,email,False
90,2024-11-19,USA,high,organic,True
91,2024-09-05,USA,low,organic,True
92,2024-04-29,Canada,medium,ads,True
93,2022-12-08,France,low,referral,False
94,2022-12-14,UK,low,referral,True
95,2024-12-02,USA,medium,organic,True
96,2020-06-07,UK,low,organic,False
97,2024-04-10,Japan,high,email,True
98,2024-04-03,UK,medium,ads,True
99,2024-01-29,Brazil,medium,ads,True
100,2024-12-23,Spain,low,social,True
101,2023-01-26,USA,low,organic,True
102,2023-02-26,Germany,low,referral,True
103,2021-09-05,Canada,low,organic,True
104,2023-06-19,UK,low,ads,True
105,2022-11-08,USA,low,organic,False
106,2023-03-02,Canada,medium,referral,False
107,2024-07-21,USA,low,social,True
108,2024-11-06,UK,low,ads,False
109,2022-06-07,UK,medium,ads,False
110,2023-04-03,Mexico,low,organic,True
111,2024-10-28,Spain,medium,email,True
112,2021-06-14,USA,low,organic,True
113,2021-10-30,UK,low,ads,True
114,2022-04-25,USA,low,organic,True
115,2024-01-01,Australia,low,organic,True
116,2022-04-03,Spain,low,social,True
117,2024-12-06,USA,low,ads,True
118,2023-06-23,Canada,low,ads,True
119,2023-09-01,Canada,low,organic,True
120,2022-10-08,USA,low,ads,False
121,2023-07-22,Germany,low,ads,True
122,2024-02-29,UK,medium,ads,True
123,2024-05-08,Germany,medium,organic,True
124,2024-05-10,UK,high,organic,True
125,2023-12-13,USA,high,email,True
126,2024-09-28,USA,medium,ads,True
127,2024-07-03,USA,low,organic,True
128,2024-05-12,Australia,medium,social,True
129,2021-05-16,Spain,low,ads,True
130,2020-04-23,France,medium,organic,True
131,2022-08-01,USA,low,referral,True
132,2024-03-01,USA,low,ads,True
133,2023-05-14,Spain,medium,organic,True
134,2023-05-05,Mexico,medium,referral,True
135,2024-09-04,USA,low,ads,False
136,2024-09-17,UK,low,ads,False
137,2024-10-03,USA,low,organic,True
138,2023-01-28,Germany,medium,organic,True
139,2024-03-22,Germany,medium,referral,True
140,2022-11-27,USA,medium,social,True
141,2022-06-17,UK,high,referral,True
142,2022-06-05,UK,low,referral,True
143,2023-03-01,USA,low,organic,True
144,2023-06-04,Spain,low,organic,False
145,2024-07-17,UK,low,organic,True
146,2022-01-27,USA,low,referral,True
147,2024-04-26,UK,low,organic,False
148,2023-10-16,Germany,medium,social,True
149,2022-12-24,USA,high,referral,True
150,2023-08-20,USA,low,ads,False
151,2023-01-11,Japan,low,organic,True
152,2024-01-02,Canada,medium,referral,True
153,2023-06-08,UK,high,email,True
154,2022-04-28,UK,low,referral,False
155,2022-01-20,USA,low,email,False
156,2023-11-06,USA,low,email,False
157,2024-09-25,USA,low,organic,False
158,2023-03-03,Canada,low,organic,True
159,2024-04-24,USA,medium,organic,True
160,2024-02-28,USA,low,ads,True
161,2024-11-01,USA,medium,organic,True
162,2024-07-07,Canada,medium,organic,True
163,2023-11-30,USA,medium,email,True
164,2024-02-28,Australia,medium,organic,True
165,2024-09-21,Spain,low,organic,True
166,2023-05-02,USA,low,organic,True
167,2023-02-11,USA,low,organic,True
168,2020-06-15,Canada,low,organic,True
169,2024-07-12,USA,low,ads,False
170,2024-06-18,USA,low,organic,False
171,2021-12-15,Australia,low,referral,True
172,2023-12-12,Canada,low,email,True
173,2023-07-13,UK,high,referral,True
174,2022-01-25,France,low,organic,True
175,2024-12-18,France,medium,social,True
176,2022-08-05,USA,low,organic,False
177,2021-07-10,USA,low,email,True
178,2024-01-01,UK,high,organic,True
179,2024-04-29,UK,low,organic,True
180,2021-02-01,UK,medium,organic,True
181,2024-02-28,Germany,low,referral,True
182,2023-10-17,Canada,low,email,True
183,2021-12-11,Brazil,low,organic,True
184,2022-05-13,USA,medium,ads,True
185,2023-12-02,UK,low,ads,True
186,2023-01-07,USA,medium,ads,True
187,2024-11-09,Spain,low,ads,True
188,2024-07-05,USA,medium,referral,True
189,2024-12-19,USA,low,organic,False
190,2022-11-04,UK,medium,organic,True
191,2024-12-07,UK,low,referral,True
192,2023-06-05,USA,low,organic,False
193,2023-03-07,USA,low,organic,True
194,2021-04-24,Australia,medium,referral,True
195,2021-05-05,UK,medium,ads,True
196,2024-03-23,Spain,low,organic,True
197,2023-07-06,Canada,low,ads,True
198,2022-08-30,USA,medium,organic,True
199,2024-01-21,Japan,low,ads,True
200,2022-10-21,France,medium,organic,True
201,2023-12-13,Mexico,low,referral,True
202,2023-03-20,Australia,low,ads,False
203,2024-07-10,France,medium,ads,True
204,2024-07-07,USA,medium,organic,True
205,2023-07-30,UK,low,referral,True
206,2023-03-10,USA,medium,referral,True
207,2023-03-23,UK,medium,referral,True
208,2024-06-23,USA,low,organic,True
209,2023-02-13,UK,low,email,True
210,2022-07-24,Brazil,low,organic,True
211,2021-09-28,USA,low,referral,True
212,2023-07-17,France,low,referral,False
213,2023-08-06,UK,low,ads,True
214,2024-07-27,UK,low,email,True
215,2022-08-18,Mexico,medium,ads,True
216,2023-04-12,Japan,low,ads,True
217,2024-06-25,Canada,medium,social,True
218,2024-07-10,Germany,medium,organic,True
219,2023-04-16,USA,low,organic,False
220,2023-07-07,USA,low,ads,False
221,2023-01-16,Mexico,medium,organic,True
222,2024-11-02,Canada,low,ads,True
223,2022-01-25,UK,low,organic,True
224,2024-11-03,Germany,medium,ads,True
225,2024-03-16,USA,low,organic,True
226,2023-10-16,Canada,high,email,True
227,2021-02-02,UK,medium,ads,False
228,2023-07-28,Spain,low,ads,True
229,2023-05-11,USA,low,email,True
230,2022-04-23,Mexico,high,ads,True
231,2024-02-27,USA,high,ads,True
232,2024-12-09,USA,low,email,True
233,2023-11-25,Canada,medium,organic,True
234,2024-04-09,Canada,medium,social,True
235,2021-07-16,USA,low,organic,True
236,2023-05-21,USA,medium,organic,True
237,2022-01-19,Spain,low,ads,True
238,2024-01-19,USA,low,organic,True
239,2024-11-09,Canada,low,organic,True
240,2024-02-29,Canada,low,ads,False
241,2021-08-25,UK,medium,organic,True
242,2023-03-15,Canada,low,ads,True
243,2023-11-11,UK,medium,email,True
244,2023-05-06,Australia,low,email,True
245,2024-07-20,USA,high,organic,True
246,2024-07-01,Germany,low,organic,True
247,2024-01-18,USA,low,referral,True
248,2023-04-04,UK,high,ads,True
249,2022-10-26,Canada,low,email,False
250,2021-12-20,USA,low,organic,True
251,2023-03-15,USA,low,organic,True
252,2023-05-16,Germany,low,email,True
253,2024-03-09,USA,low,referral,True
254,2024-02-28,UK,medium,email,True
255,2021-07-24,Japan,medium,ads,True
256,2023-04-28,Japan,low,ads,False
257,2022-05-30,USA,low,referral,False
258,2022-04-14,USA,low,organic,True
259,2024-07-13,USA,low,ads,True
260,2021-03-16,Australia,low,organic,False
261,2023-05-23,Spain,low,referral,True
262,2022-05-05,Spain,medium,ads,True
263,2024-08-29,UK,low,organic,False
264,2023-11-19,USA,low,email,False
265,2022-09-11,France,low,organic,True
266,2023-09-03,Germany,medium,organic,True
267,2024-04-23,Canada,low,referral,True
268,2024-11-29,Brazil,low,organic,True
269,2022-08-17,Canada,medium,referral,True
270,2024-09-06,USA,low,email,True
271,2024-11-04,France,low,ads,False
272,2024-10-13,USA,medium,organic,False
273,2024-02-09,Canada,medium,organic,True
274,2024-02-04,Australia,low,referral,True
275,2023-05-06,USA,low,organic,True
276,2024-05-08,USA,low,ads,True
277,2023-10-16,USA,high,organic,True
278,2024-03-10,Canada,medium,organic,True
279,2023-06-02,USA,medium,referral,True
280,2024-04-23,Canada,low,ads,True
281,2024-07-10,Germany,low,ads,True
282,2022-03-25,USA,low,email,True
283,2024-07-19,Canada,medium,ads,False
284,2023-10-28,USA,low,organic,False
285,2024-07-31,UK,low,ads,True
286,2023-06-05,Australia,medium,social,True
287,2023-04-10,France,low,ads,True
288,2024-10-11,USA,low,referral,True
289,2022-10-18,UK,low,email,True
290,2024-07-30,USA,low,organic,False
291,2023-08-08,USA,low,organic,True
292,2023-09-20,Germany,low,ads,True
293,2023-01-23,Canada,low,referral,True
294,2023-12-07,USA,low,organic,False
295,2023-02-09,Germany,high,referral,True
296,2021-03-07,Canada,low,organic,True
297,2022-11-28,UK,medium,email,True
298,2020-04-16,USA,medium,referral,True
299,2024-12-16,USA,medium,ads,True
300,2024-12-04,Spain,medium,referral,True
301,2023-04-27,Australia,low,social,False
302,2024-04-20,UK,low,organic,True
303,2023-03-05,France,low,ads,True
304,2024-03-06,Canada,low,ads,True
305,2024-06-23,USA,high,ads,True
306,2024-11-19,USA,medium,ads,True
307,2023-05-03,USA,low,referral,True
308,2024-06-03,Spain,low,organic,True
309,2022-11-16,France,low,organic,True
310,2024-12-23,Spain,medium,organic,True
311,2020-12-13,Spain,high,organic,True
312,2024-01-10,USA,low,ads,True
313,2024-02-28,USA,medium,ads,True
314,2024-03-19,USA,high,ads,True
315,2022-01-29,France,high,ads,True
316,2024-11-09,Spain,low,ads,False
317,2022-05-29,UK,low,organic,True
318,2024-01-29,Canada,low,organic,True
319,2022-08-22,USA,medium,referral,True
320,2023-01-21,Australia,low,referral,True
321,2023-11-05,Spain,medium,social,True
322,2023-05-20,Brazil,medium,organic,True
323,2022-04-20,France,low,email,True
324,2022-05-10,Spain,medium,organic,True
325,2023-05-21,USA,high,ads,True
326,2024-05-12,Germany,low,referral,True
327,2024-09-20,USA,medium,referral,False
328,2021-09-26,Australia,low,ads,True
329,2023-04-25,France,low,referral,True
330,2021-12-01,Spain,low,ads,False
331,2020-09-02,France,low,social,False
332,2024-02-29,USA,medium,organic,True
333,2024-01-09,France,low,ads,True
334,2022-04-26,USA,low,referral,False
335,2022-09-16,Spain,low,organic,True
336,2020-11-24,Spain,low,referral,True
337,2024-07-21,USA,medium,organic,True
338,2024-12-12,France,high,ads,True
339,2022-03-03,UK,high,ads,True
