order_id,product_id,quantity
1,17,1
2,26,4
2,31,2
2,22,2
3,68,1
3,19,1
3,92,2
3,67,1
3,21,1
3,39,1
3,42,1
3,66,1
3,17,1
4,75,2
4,13,2
4,100,3
4,61,3
4,78,1
5,73,1
6,76,1
6,45,2
6,7,1
7,73,1
7,11,4
7,43,2
8,83,1
8,28,1
9,14,1
9,67,1
9,52,1
9,29,2
10,44,1
11,88,1
11,36,1
12,33,2
12,97,1
13,17,1
13,3,1
13,28,1
13,51,2
14,62,1
15,65,1
16,29,1
16,84,1
17,78,1
17,71,1
17,29,1
17,53,1
17,35,1
17,68,2
18,45,2
19,11,1
19,64,1
19,57,1
20,4,1
20,7,2
21,96,1
22,74,5
22,12,3
23,95,2
23,46,2
24,68,4
25,82,1
25,62,3
26,41,5
26,97,1
26,85,2
26,12,1
26,79,1
27,86,1
27,41,1
28,30,4
28,70,3
29,67,1
30,99,4
30,42,1
31,80,1
31,88,1
31,12,1
31,1,5
32,23,1
32,74,1
32,24,1
33,54,1
34,22,4
35,7,2
36,77,1
36,6,1
36,22,1
36,10,1
37,18,1
38,36,4
38,91,2
38,72,2
38,54,1
39,10,3
40,36,1
41,54,2
42,51,1
43,98,1
43,78,4
43,94,1
43,42,1
44,20,1
44,77,1
44,19,1
44,16,2
44,43,1
45,41,1
45,88,1
45,75,1
45,58,1
46,81,1
46,72,1
47,57,1
48,9,1
49,31,1
49,74,2
49,67,1
49,75,1
50,76,1
50,13,1
50,56,2
50,9,3
50,50,1
50,6,1
51,45,2
52,6,1
52,3,1
52,95,1
53,100,1
53,99,1
53,38,2
53,44,4
53,13,1
53,40,1
53,47,1
53,62,1
53,8,3
53,77,2
54,35,1
54,36,1
54,3,1
54,99,5
54,60,1
55,4,4
55,93,1
55,46,2
55,47,1
56,50,1
56,15,1
56,63,2
57,16,1
57,97,1
58,29,1
58,85,1
59,58,1
59,11,2
60,18,1
61,51,3
61,67,1
61,7,1
62,83,1
63,35,1
64,31,3
64,84,2
64,55,1
65,30,1
65,42,1
65,87,1
66,32,3
67,12,1
68,4,1
69,7,1
69,19,1
70,14,1
70,56,1
71,51,1
72,71,3
72,90,1
72,38,1
72,12,2
