order_id,customer_id,order_date,order_amount,payment_method,order_status
1,4152,2020-01-01,39.01,credit_card,completed
2,4777,2020-01-12,58.48,credit_card,completed
3,3218,2020-01-24,19.08,credit_card,completed
4,3627,2020-01-26,92.21,debit_card,completed
5,3218,2020-02-03,59.8,credit_card,canceled
6,3627,2020-02-05,31.3,credit_card,completed
7,4152,2020-02-05,142.94,credit_card,completed
8,2605,2020-02-07,56.6,debit_card,completed
9,4152,2020-02-08,78.79,credit_card,completed
10,4130,2020-02-13,107.82,credit_card,completed
11,2633,2020-02-20,75.39,credit_card,completed
12,4979,2020-02-21,29.9,credit_card,completed
13,822,2020-02-22,72.51,crypto,completed
14,822,2020-02-26,139.18,credit_card,completed
15,4412,2020-02-29,23.92,credit_card,completed
16,4777,2020-03-01,37.53,debit_card,canceled
17,2715,2020-03-05,125.83,credit_card,completed
18,4901,2020-03-08,33.66,paypal,completed
19,4130,2020-03-12,137.41,credit_card,completed
20,3627,2020-03-12,158.31,debit_card,refunded
21,4130,2020-03-14,32.07,credit_card,completed
22,3627,2020-03-16,17.83,bank_transfer,completed
23,2295,2020-03-21,10.0,credit_card,completed
24,1902,2020-03-23,34.25,paypal,completed
25,822,2020-03-25,29.78,credit_card,completed
26,2903,2020-03-31,32.94,credit_card,refunded
27,2912,2020-03-31,33.42,credit_card,completed
28,822,2020-04-02,20.32,bank_transfer,completed
29,209,2020-04-05,125.97,credit_card,completed
30,822,2020-04-06,27.89,credit_card,completed
31,206,2020-04-08,43.22,credit_card,completed
32,1516,2020-04-10,80.51,paypal,completed
33,4130,2020-04-14,29.86,paypal,refunded
34,4771,2020-04-16,33.67,debit_card,completed
35,4777,2020-04-18,29.53,crypto,completed
36,4726,2020-04-20,158.16,credit_card,completed
37,3318,2020-04-23,159.77,credit_card,completed
38,1922,2020-04-27,155.47,debit_card,completed
39,2529,2020-04-28,28.37,credit_card,completed
40,2693,2020-04-30,53.84,credit_card,refunded
41,206,2020-04-30,54.08,debit_card,completed
42,2762,2020-05-02,47.3,credit_card,canceled
43,2978,2020-05-02,25.23,paypal,completed
44,4130,2020-05-04,57.06,credit_card,completed
45,2328,2020-05-05,26.21,credit_card,completed
46,3318,2020-05-05,153.51,bank_transfer,completed
47,4412,2020-05-06,25.56,credit_card,completed
48,209,2020-05-08,215.69,debit_card,refunded
49,3783,2020-05-08,66.47,credit_card,completed
50,1753,2020-05-09,121.56,debit_card,completed
51,2296,2020-05-13,89.05,debit_card,completed
52,1516,2020-05-14,101.17,credit_card,completed
53,2715,2020-05-14,102.35,credit_card,completed
54,2225,2020-05-14,197.03,credit_card,canceled
55,3783,2020-05-15,52.45,paypal,completed
56,1753,2020-05-15,48.15,credit_card,completed
57,3745,2020-05-17,35.94,credit_card,completed
58,1922,2020-05-18,58.59,credit_card,completed
59,408,2020-05-19,66.54,paypal,completed
60,2819,2020-05-20,74.22,paypal,completed
61,2715,2020-05-20,98.41,paypal,completed
62,2295,2020-05-20,144.14,paypal,completed
63,1887,2020-05-21,52.98,bank_transfer,completed
64,2350,2020-05-22,69.5,paypal,completed
65,408,2020-05-22,77.36,credit_card,completed
66,2978,2020-05-23,143.76,debit_card,canceled
67,1265,2020-05-23,42.4,credit_card,completed
68,4504,2020-05-23,144.0,debit_card,canceled
69,822,2020-05-27,12.56,debit_card,completed
70,4412,2020-05-27,84.94,debit_card,completed
71,2132,2020-05-28,75.7,bank_transfer,completed
72,3218,2020-05-28,46.71,debit_card,completed
73,3118,2020-05-29,116.33,credit_card,completed
74,2818,2020-05-29,66.97,credit_card,completed
75,3420,2020-05-31,148.08,crypto,completed
76,333,2020-05-31,16.15,paypal,refunded
77,2132,2020-06-02,52.21,credit_card,completed
78,2693,2020-06-04,200.21,paypal,completed
79,2693,2020-06-05,46.6,credit_card,completed
80,1169,2020-06-05,25.51,credit_card,completed
81,2534,2020-06-05,45.81,credit_card,canceled
82,3711,2020-06-06,28.43,credit_card,completed
83,3783,2020-06-08,122.14,paypal,completed
84,1902,2020-06-08,62.29,debit_card,canceled
85,3965,2020-06-12,1113.19,credit_card,completed
86,4688,2020-06-12,36.62,credit_card,completed
87,206,2020-06-12,35.9,credit_card,completed
88,1484,2020-06-13,35.65,paypal,canceled
89,2912,2020-06-13,52.56,credit_card,completed
90,4771,2020-06-13,52.47,credit_card,completed
91,333,2020-06-13,47.82,credit_card,completed
92,946,2020-06-13,120.88,bank_transfer,completed
93,2350,2020-06-14,33.99,debit_card,completed
94,2605,2020-06-16,96.18,credit_card,completed
95,1744,2020-06-16,88.35,credit_card,completed
96,2978,2020-06-17,18.47,credit_card,refunded
97,471,2020-06-18,26.27,debit_card,completed
98,2912,2020-06-18,174.37,credit_card,completed
99,4771,2020-06-18,88.09,credit_card,completed
100,2693,2020-06-19,86.91,credit_card,completed
101,172,2020-06-20,109.24,debit_card,completed
102,333,2020-06-22,155.24,credit_card,completed
103,3067,2020-06-24,42.55,credit_card,completed
104,73,2020-06-25,77.46,debit_card,completed
105,2361,2020-06-26,73.54,credit_card,completed
106,841,2020-06-28,61.15,paypal,refunded
107,4901,2020-06-29,30.15,debit_card,completed
108,822,2020-06-29,47.52,credit_card,completed
109,841,2020-06-29,1420.7,credit_card,canceled
110,4156,2020-06-30,60.35,paypal,canceled
111,4152,2020-06-30,90.72,credit_card,completed
112,4901,2020-07-01,27.77,credit_card,completed
113,4813,2020-07-02,29.05,credit_card,completed
114,2534,2020-07-02,157.94,debit_card,completed
115,3318,2020-07-02,50.78,credit_card,completed
116,1074,2020-07-02,81.12,credit_card,completed
117,2912,2020-07-03,43.9,credit_card,completed
118,457,2020-07-03,163.38,credit_card,completed
119,3318,2020-07-07,44.59,credit_card,completed
120,3118,2020-07-07,67.76,credit_card,completed
121,3118,2020-07-08,139.34,credit_card,completed
122,457,2020-07-09,53.2,crypto,canceled
123,1514,2020-07-10,23.53,credit_card,completed
124,4777,2020-07-12,22.68,credit_card,completed
125,4130,2020-07-12,72.15,bank_transfer,completed
126,1922,2020-07-14,24.18,credit_card,completed
127,2683,2020-07-14,78.08,credit_card,completed
128,2225,2020-07-15,37.94,credit_card,completed
129,3118,2020-07-15,263.61,credit_card,completed
130,1800,2020-07-19,128.64,credit_card,completed
131,1753,2020-07-19,157.22,credit_card,completed
132,3272,2020-07-20,42.94,debit_card,refunded
133,822,2020-07-20,116.05,paypal,refunded
134,3913,2020-07-21,33.52,credit_card,completed
135,822,2020-07-21,66.95,credit_card,completed
136,3318,2020-07-23,16.26,bank_transfer,completed
137,4235,2020-07-23,140.43,debit_card,completed
138,2295,2020-07-24,76.5,credit_card,canceled
139,2213,2020-07-24,84.82,bank_transfer,completed
140,3318,2020-07-25,26.44,credit_card,completed
141,333,2020-07-25,52.81,credit_card,completed
142,4688,2020-07-25,50.67,bank_transfer,completed
143,2978,2020-07-25,73.47,credit_card,completed
144,2715,2020-07-25,23.89,bank_transfer,completed
145,3108,2020-07-25,157.13,debit_card,completed
146,1265,2020-07-26,59.06,debit_card,completed
147,4235,2020-07-26,93.5,debit_card,completed
148,937,2020-07-26,27.89,credit_card,completed
149,4156,2020-07-27,73.36,credit_card,completed
150,4901,2020-07-28,11.09,paypal,completed
151,4056,2020-07-28,96.59,bank_transfer,completed
152,4813,2020-07-30,49.46,credit_card,canceled
153,1265,2020-07-30,19.35,credit_card,refunded
154,2534,2020-07-31,59.73,credit_card,completed
155,408,2020-07-31,30.86,credit_card,completed
156,1747,2020-08-02,109.47,credit_card,completed
157,1747,2020-08-02,58.11,debit_card,completed
158,4136,2020-08-03,100.87,debit_card,completed
159,3913,2020-08-03,73.29,debit_card,completed
160,2633,2020-08-04,51.97,credit_card,completed
161,2213,2020-08-04,41.03,credit_card,completed
162,1814,2020-08-05,63.79,bank_transfer,completed
163,2361,2020-08-05,63.02,paypal,completed
164,4056,2020-08-06,1210.12,credit_card,completed
165,1516,2020-08-07,69.85,credit_card,completed
166,3420,2020-08-07,56.19,credit_card,completed
167,4813,2020-08-07,54.66,paypal,completed
168,2818,2020-08-07,30.87,credit_card,completed
169,3067,2020-08-07,50.06,credit_card,completed
170,3627,2020-08-08,10.0,credit_card,canceled
171,1050,2020-08-09,46.01,crypto,completed
172,2529,2020-08-10,33.56,credit_card,completed
173,926,2020-08-11,152.47,credit_card,completed
174,822,2020-08-11,137.79,credit_card,completed
175,3627,2020-08-12,4676.72,credit_card,completed
176,4156,2020-08-13,67.37,credit_card,completed
177,3067,2020-08-15,86.94,credit_card,completed
178,3264,2020-08-15,20.28,credit_card,completed
179,2819,2020-08-16,80.59,debit_card,completed
180,378,2020-08-16,98.8,credit_card,completed
181,2225,2020-08-17,33.92,bank_transfer,completed
182,11,2020-08-17,55.45,credit_card,completed
183,2978,2020-08-17,60.12,paypal,completed
184,1050,2020-08-18,73.89,debit_card,completed
185,4130,2020-08-18,300.0,debit_card,completed
186,2709,2020-08-19,43.25,debit_card,completed
187,2534,2020-08-21,78.41,credit_card,completed
188,564,2020-08-21,44.85,bank_transfer,completed
189,3314,2020-08-21,68.1,credit_card,completed
190,2361,2020-08-22,146.65,bank_transfer,completed
191,2912,2020-08-22,50.72,paypal,completed
192,4777,2020-08-23,41.98,credit_card,completed
193,3118,2020-08-24,66.1,paypal,completed
194,172,2020-08-25,26.0,bank_transfer,completed
195,3162,2020-08-26,30.51,debit_card,completed
196,172,2020-08-26,55.68,credit_card,completed
197,245,2020-08-27,82.23,bank_transfer,canceled
198,2903,2020-08-27,107.06,credit_card,completed
199,1800,2020-08-28,83.25,credit_card,completed
200,3318,2020-08-29,63.0,paypal,completed
201,3413,2020-08-29,101.85,credit_card,canceled
202,4520,2020-08-30,109.79,credit_card,completed
203,1902,2020-08-30,83.11,debit_card,completed
204,2683,2020-08-30,70.0,bank_transfer,completed
205,3926,2020-08-31,116.07,bank_transfer,completed
206,4156,2020-09-01,24.04,debit_card,completed
207,1169,2020-09-01,144.77,debit_card,completed
208,2132,2020-09-01,79.76,paypal,completed
209,2715,2020-09-01,159.1,debit_card,completed
210,378,2020-09-02,59.79,credit_card,canceled
211,2693,2020-09-02,44.81,credit_card,completed
212,937,2020-09-02,145.43,debit_card,completed
213,3471,2020-09-04,73.59,bank_transfer,completed
214,3420,2020-09-04,36.11,credit_card,completed
215,408,2020-09-05,136.69,debit_card,completed
216,2132,2020-09-06,254.16,credit_card,completed
217,1697,2020-09-06,57.94,paypal,completed
218,2709,2020-09-07,18.55,credit_card,completed
219,3951,2020-09-07,40.4,debit_card,completed
220,357,2020-09-07,83.65,credit_card,completed
221,4418,2020-09-07,11.4,bank_transfer,completed
222,1265,2020-09-07,53.88,credit_card,completed
223,1697,2020-09-10,525.87,debit_card,completed
224,313,2020-09-10,47.85,debit_card,completed
225,372,2020-09-11,86.64,debit_card,completed
226,4688,2020-09-11,39.44,credit_card,completed
227,1744,2020-09-11,35.73,paypal,completed
228,1814,2020-09-11,64.36,credit_card,completed
229,883,2020-09-14,136.1,paypal,completed
230,1971,2020-09-14,33.07,credit_card,completed
231,3627,2020-09-14,46.54,credit_card,completed
232,2686,2020-09-15,100.21,credit_card,completed
233,2534,2020-09-15,64.29,credit_card,completed
234,4688,2020-09-15,26.34,bank_transfer,completed
235,3162,2020-09-15,108.09,debit_card,completed
236,4979,2020-09-15,300.0,credit_card,refunded
237,3067,2020-09-16,115.52,debit_card,completed
238,2534,2020-09-17,74.88,credit_card,completed
239,2350,2020-09-18,75.29,paypal,completed
240,2081,2020-09-19,51.11,credit_card,completed
241,899,2020-09-19,27.13,credit_card,completed
242,3690,2020-09-19,34.15,credit_card,completed
243,378,2020-09-19,99.73,credit_card,canceled
244,3067,2020-09-20,139.2,debit_card,completed
245,4412,2020-09-20,58.98,debit_card,canceled
246,4813,2020-09-21,74.27,paypal,completed
247,795,2020-09-21,45.99,credit_card,completed
248,172,2020-09-22,73.5,credit_card,completed
249,129,2020-09-22,53.43,credit_card,completed
250,2709,2020-09-22,102.68,bank_transfer,completed
251,564,2020-09-23,18.99,credit_card,completed
252,2818,2020-09-24,40.49,credit_card,completed
253,4487,2020-09-24,34.22,debit_card,completed
254,1284,2020-09-24,73.63,credit_card,completed
255,2213,2020-09-24,67.54,debit_card,completed
256,3314,2020-09-24,74.49,paypal,canceled
257,4412,2020-09-25,71.64,paypal,completed
258,4412,2020-09-25,114.24,bank_transfer,completed
259,1169,2020-09-25,22.8,credit_card,completed
260,172,2020-09-25,40.66,credit_card,completed
261,4901,2020-09-25,40.96,debit_card,canceled
262,3783,2020-09-26,53.92,bank_transfer,completed
263,3951,2020-09-26,144.67,debit_card,refunded
264,457,2020-09-26,14.03,debit_card,completed
265,4757,2020-09-27,167.86,bank_transfer,completed
266,4520,2020-09-27,42.97,debit_card,canceled
267,899,2020-09-27,35.22,credit_card,completed
268,2686,2020-09-28,44.27,debit_card,completed
269,879,2020-09-28,128.35,paypal,refunded
270,4100,2020-09-29,131.29,credit_card,completed
271,2715,2020-09-30,125.62,credit_card,completed
272,4197,2020-09-30,56.15,paypal,completed
273,2830,2020-09-30,45.89,bank_transfer,completed
274,3008,2020-10-01,48.31,credit_card,completed
275,4757,2020-10-01,121.05,paypal,completed
276,11,2020-10-01,72.52,credit_card,completed
277,3669,2020-10-02,57.05,paypal,completed
278,1970,2020-10-02,14.9,paypal,completed
279,4520,2020-10-02,47.51,credit_card,completed
280,2529,2020-10-03,53.19,debit_card,completed
281,926,2020-10-05,44.73,credit_card,completed
282,1503,2020-10-05,300.0,crypto,completed
283,1503,2020-10-06,74.58,credit_card,completed
284,1753,2020-10-06,43.75,paypal,refunded
285,4508,2020-10-06,97.44,paypal,completed
286,4508,2020-10-07,16.32,credit_card,completed
287,1970,2020-10-07,27.06,bank_transfer,completed
288,3218,2020-10-07,62.93,paypal,completed
289,4235,2020-10-07,16.32,credit_card,completed
290,1697,2020-10-09,94.29,paypal,completed
291,902,2020-10-09,45.56,bank_transfer,completed
292,3099,2020-10-10,110.51,bank_transfer,completed
